Title (abbreviated),Number
Index,1376
Investigación y Progreso,1377
Irish Jurist N.S.,1378
Irish Theological Quarterly,1379
Isis,1380
Israel Law Review,1381
Israel Museum Journal,1382
Istoriko-Astronomitcheskie Issledovanija Akademii Nauk SSSR,1383
Istros,1384
Iura,1386
Iuris Antiqui Historia. An International Journal of Ancient Law,1387
Izvestija Akademii Nauk SSSR. Serija literatury i jazyka,1388
Izvestija Gosudarstvennoj Akademii Istorii Material'noj kultury fasc.,1389
J. Roy. Astron. Soc. Can.,1390
Jahrb. d. Österr. Byzantin. Ges.,1393
Jahrbuch der Einbandkunst,1397
Jahrbuch der Hafenbautechnischen Gesellschaft,1398
Jahrbuch des Museums für Kunst und Gewerbe Hamburg,1399
Janus,1400
"Jean BINGEN, Pages d'épigraphie grecque: Attique - Égypte",1401
"Jean BINGEN, Pages d'épigraphie grecque. II. Égypte",1402
Jewish Social Studies,1403
Journ. Fac. of Archaeol.,1404
Journal de Pharmacie de Belgique N.S.,1405
Journal de Psychologie normale et pathologique,1406
Journal médical de Strasbourg,1407
Journal of Ancient Civilizations,1408
Journal of Classical Studies,1409
Graeco-Latina Brunensia,1410
Journal of Economic and Business History,1411
Journal of Greco-Roman Christianity and Judaism,1412
Journal of Human Evolution,1413
Journal of Jewish Studies,1414
Journal of Northwest Semitic Languages,1415
Journal of Oriental and African Studies,1416
Journal of the Ancient Chronology Forum,1417
Journal of the Manchester Egyptian and Oriental Society,1418
Journal of the Society for the Study of Egyptian Antiquities,1419
Journal of the Transactions of the Victoria Institute,1420
Juridical Review,1421
Juristische Blätter,1422
Jus N.S.,1423
Kadmos,1424
Kairos,1425
Kairos N.F.,1426
Karthago,1427
Kemet,1428
Kêmi,1429
Kentron,1430
Kernos,1431
Klearchos,1432
Kleio,1433
Kleronomia,1434
Klio,1435
Klio N.F.,1436
Kodai,1437
Koinonia,1438
Kokalos,1439
Kölner Beiträge zur Sportwissenschaft,1440
Koptologische Studien in der DDR. WZ Halle,1441
Kretologia,1443
Kriterion,1444
Ktèma,1445
Kush,1446
Kwartalnik Historyczny,1447
Kyklos,1448
Kypriakai Spoudai,1449
L'Égypte du Delta: les capitales,1451
L'étude de l'histoire du droit en Belgique et aux Pays-Bas,1452
L'originalité de l'Égypte dans le,1453
L'vivs'kij derzavnij universitet imeni Ivan Franka. Pitanija klasicnoi filologii,1455
L'vivs'kij derzavnij Universitet Pitanija klasicnoj filologii,1456
La,1457
"La ""démocratisation de la culture"" dans",1458
La Conservazione delle Carte antiche,1459
La critica d'arte (Firenze),1460
La femme dans,1461
"La Feuille Blanche (Bulletin de l'Association des Amis du papier, des arts et des industries graphiques français) No.",1462
La fonction de juger. Égypte ancienne et,1463
La Lettre de Pallas,1464
La Lettre du Collège de France,1465
La médecine dans,1466
La Papirologia in,1467
La Parola del Passato,1468
La Pensée,1469
La Revue de la BNU [Bibliothèque nationale et universitaire de Strasbourg],1470
La Revue du Caire,1471
La Revue du Notariat,1472
La Zagaglia,1473
Labeo,1474
Lalies,1475
Lampas,1476
Language,1477
Laographia,1478
Late Antiquity Art in,1479
Later Greek,1480
Lateranum N.S.,1481
Latinitas,1482
Latomus,1483
Laverna,1484
Le Monde copte,1485
Le monde de la Bible,1486
Le Vie d'Italia e del Mondo,1488
Les,1489
Les Dossiers d'Archéologie,1490
